Japanese,Hebrew
こんにちは,שלום
おはよう,בוקר טוב
こんばんは,ערב טוב
おやすみなさい,לילה טוב
ありがとう,תודה
ありがとうございます,תודה רבה
すみません,סליחה
ごめんなさい,מתנצל
はい,כן
いいえ,לא
お願いします,בבקשה
どういたしまして,בשמחה
はじめまして,נעים להכיר
さようなら,להתראות
またね,נתראה
元気ですか,מה שלומך?
元気です,אני בסדר
名前は何ですか,איך קוראים לך?
私の名前は〜です,קוראים לי ~
これは何ですか,מה זה?
わかります,אני מבין
わかりません,אני לא מבין
大丈夫です,הכל בסדר
助けて,עזור לי
はい、そうです,כן, נכון
いいえ、違います,לא, זה לא נכון
いくらですか,כמה זה עולה?
高い,יקר
安い,זול
好き,אוהב
嫌い,לא אוהב
美味しい,טעים
まずい,לא טעים
水,מים
お茶,תה
コーヒー,קפה
ご飯,אורז / ארוחה
パン,לחם
肉,בשר
魚,דג
野菜,ירקות
果物,פירות
犬,כלב
猫,חתול
鳥,ציפור
車,רכב
電車,רכבת
バス,אוטובוס
飛行機,מטוס
自転車,אופניים
学校,בית ספר
大学,אוניברסיטה
先生,מורה
学生,סטודנט
病院,בית חולים
薬,תרופה
お金,כסף
銀行,בנק
店,חנות
家,בית
部屋,חדר
窓,חלון
ドア,דלת
椅子,כיסא
机,שולחן
電話,טלפון
時計,שעון
本,ספר
新聞,עיתון
手紙,מכתב
写真,תמונה
映画,סרט
音楽,מוזיקה
歌,שיר
踊り,ריקוד
色,צבע
赤,אדום
青,כחול
緑,ירוק
黄色,צהוב
黒,שחור
白,לבן
寒い,קר
暑い,חם
雨,גשם
雪,שלג
風,רוח
空,שמיים
太陽,שמש
月,ירח
星,כוכב
海,ים
山,הר
川,נהר
道,דרך / רחוב
駅,תחנת רכבת
右,ימין
左,שמאל
前,קדימה
後ろ,אחורה
中,בפנים
外,בחוץ
上,למעלה
下,למטה
近い,קרוב
遠い,רחוק
早い,מהיר
遅い,איטי
新しい,חדש
古い,ישן
大きい,גדול
小さい,קטן
長い,ארוך
短い,קצר
重い,כבד
軽い,קל (משקל)
強い,חזק
弱い,חלש
面白い,מעניין
つまらない,משעמם
簡単,קל (פשוט)
難しい,קשה
忙しい,עסוק
暇,פנוי
幸せ,מאושר
悲しい,עצוב
怖い,מפחיד
楽しい,מהנה
痛い,כואב
きれい,יפה / נקי
汚い,מלוכלך
開ける,לפתוח
閉める,לסגור
見る,לראות
聞く,להקשיב / לשמוע
話す,לדבר
書く,לכתוב
読む,לקרוא
食べる,לאכול
飲む,לשתות
行く,ללכת / לנסוע
来る,לבוא
帰る,לחזור
買う,לקנות
売る,למכור
使う,להשתמש
作る,ליצור / להכין
遊ぶ,לשחק
働く,לעבוד
勉強する,ללמוד
運転する,לנהוג
泳ぐ,לשחות
歩く,ללכת (רגלי)
走る,לרוץ
寝る,לישון
起きる,לקום
始める,להתחיל
終わる,לסיים
待つ,לחכות
持つ,להחזיק
会う,לפגוש
教える,ללמד
学ぶ,ללמוד
練習する,להתאמן
洗う,לשטוף
掃除する,לנקות
電話する,לטלפן
送る,לשלוח
開く,להיפתח
閉まる,להיסגר
消える,להיעלם / להיכבות
出る,לצאת
入る,להיכנס
乗る,לעלות (על כלי תחבורה)
降りる,לרדת (מכלי תחבורה)
始まる,להתחיל (משהו קורה)
終わる,להסתיים
探す,לחפש
見つける,למצוא
選ぶ,לבחור
決める,להחליט
忘れる,לשכוח
覚える,לזכור / לשנן
感じる,להרגיש
笑う,לצחוק
泣く,לבכות
歌う,לשיר
