English,Hebrew
a/an,(לפני שם עצם)
about,אודות על
above,מעל
across,מעבר
Address (n),כתובת
afraid,מפחד
after,אחרי
afternoon,צהריים
again,שוב
ago,לפני (זמן)
agree,להסכים
all,כל
(not),לא
almost,כמעט
alone,לבד
alphabet,סדר האלף-בית
already,כבר
also,גם
always,תמיד
"I'm, am",אני (זמן הווה)
and,ו
animal,חיה
another,נוסף
answer (n),תשובה
answer (v),לענות
any,כלשהו
anyone,מישהו
anything,משהו
apartment,דירה
appear,להופיע
apple,תפוח
April,אפריל (שם של חודש)
are,"הם, הן"
arrive,להגיע
art,אומנות
ask for,לבקש
at,ב
August,אוגוסט (שם של חודש)
autumn,סתיו
away,הרחק
back,חזרה
bad,רע
bag,תיק
be,להיות
beautiful,יפה
because,כי
become,להפוך ל
bed,מיטה
before,לפני
begin,להתחיל
behind,מאחורי
beside,על יד
best,הכי טוב
better,יותר טוב
between,"בין, מתווך"
big,גדול
birthday,יום הולדת
a bit of,קצת
black,שחור
blue,כחול
board,לוח
boat,סירה
doctor,רופא
do,לעשות
love,אהבה
don't,אל
door,דלת
down,למטה
draw,לצייר
dress,שמלה
drink,לשתות
drive,לנהוג
drop,להפיל
dry,יבש
ear,אוזן
eat,לאכול
eighty,80
eleven,11
bus,אוטובוס
busy,עסוק
buy,לקנות
by,על-ידי
By the way,דרך אגב
call (v),להתקשר
call (n),קריאה
clean (adj),נקי
clean (v),לנקות
close (v),לסגור
closed (adj),סגור
coffee,קפה
color,צבע
come back,לחזור
computer,מחשב
copy (v),להעתיק
count (v),לספור
country,"ארץ, מדינה"
of course,כמובן
street/road,רחוב
cry (v),לבכות
cut (v),לחתוך
dad,אבא
dark,כהה
date,תאריך
daughter,בת (של)
day,יום
Dear,יקר
December,דצמבר (שם של חודש)
decide,להחליט
dictionary,מילון
different,שונה
difficult,קשה
The last letter of the alphabet is Z,האחרונה באותיות היא Z
letter,אות
I wrote a letter to my cousin,כתבתי מכתב לבן דוד שלי
lie,לשקר
It was wrong to lie to my friend,לא היה נכון לשקר לחברי
life,חיים
light (n),אור
like (prep),כמו
like (v),לאהוב
listen,להקשיב
a little girl,ילדה קטנה
meet,לפגוש
meeting,פגישה
memory,זיכרון
message,הודעה
milk,חלב
minute (n),דקה
mix,לערבב
mistake,טעות
mom/mum,אמא
money,כסף
moon,ירח
morning,בוקר
mother,אמא
move,לעבור
movie,סרט
Mr,מר
Mrs,גברת
music,מוזיקה
myself,בעצמי
name,שם
near,קרוב
need,צריך
neighbor,שכן
new,חדש
next,הבא
night,לילה
nineteen,תשע עשרה
ninety,תשעים
no,לא
nobody,אף אחד
not,לא
nothing,כלום
now,עכשיו
number (n),מספר
October,אוקטובר
often,לעיתים קרובות
OK/okay,בסדר
old,ישן
parents,הורים
page,עמוד
paper,נייר
pen,עט
pencil,עיפרון
perhaps,אולי
person,אדם
pick up,להרים
picture,תמונה
place,מקום
plan (v),לתכנן
play a game,לשחק משחק
please,בבקשה
poor,עני
possible,אפשרי
practice (v),להתאמן
problem,בעיה
project,פרויקט
push,לדחוף
question,שאלה
quick,מהיר
quiet,שקט
radio,רדיו
read,לקרוא
ready,מוכן
real,אמיתי
really,באמת
red,אדום
remember,לזכור
